method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
MGCS,300,400,0.15674166666666667,0.27598333333333336,0.0375,86.85246509655491,6.991970788052563,73.39157342674793,6.468920881754426,76.73416183047374,90.19505350028072,66608.0175,107005.81749999999,52936.00000000001,103904.00000000001,66608017500.0,107005817499.99998,52936000000.00001,103904000000.00002,0.0,0.0,0.0,0
MSTS,300,400,0.038575,0.03965,0.0375,87.01097443372869,6.497245543016017,74.04480800895826,6.468920881754426,77.18570825814896,90.15187468291941,60916.63750000001,89189.73250000001,53305.0,88139.0,60916637500.000015,89189732500.00002,53305000000.0,88139000000.0,0.0,0.0,0.0,0
RS,300,400,0.4494,0.8613,0.0375,87.72801119841456,7.499029476275482,73.76006084038465,6.468920881754426,77.022542621178,90.99049297920791,59356.34249999999,88078.99250000001,52209.0,95045.0,59356342499.99999,88078992500.0,52209000000.0,95045000000.0,0.0,0.0,0.0,0
CAHS,350,400,0.10971428571428571,0.18192857142857144,0.0375,72.08395477490642,7.5161239188378115,58.09860948717401,6.469221368894593,61.452215908035676,75.43756119576808,85760.51499999998,104878.595,74590.0,102474.0,85760514999.99998,104878595000.0,74590000000.0,102474000000.0,0.7872679335968946,0.0877320664031055,0.125,69825
MGCS,350,400,0.15924285714285713,0.2809857142857143,0.0375,87.23727230439516,6.814926017628654,73.9531249178719,6.469221368894593,77.33665255306033,90.62079993958359,70737.7675,125480.9975,61748.0,134799.0,70737767500.0,125480997500.0,61748000000.0,134799000000.0,0.0,0.0,0.0,0
MSTS,350,400,0.03867857142857143,0.039857142857142855,0.0375,86.96258475375318,6.497707772801114,73.99565561205748,6.469221368894593,77.19863408859796,90.16556323029367,65032.49,100807.00749999999,57935.00000000001,100852.0,65032490000.0,100807007500.0,57935000000.00001,100852000000.0,0.0,0.0,0.0,0
RS,350,400,0.45054285714285713,0.8635857142857143,0.0375,87.67531069523181,7.494507035444683,73.71158229089255,6.469221368894593,76.97975260900446,90.94348101334373,63847.10249999999,100401.28000000001,50824.0,96337.0,63847102499.99999,100401280000.00002,50824000000.0,96337000000.0,0.0,0.0,0.0,0
CAHS,400,400,0.10364375,0.1697875,0.0375,72.33917790044818,7.540811425796307,58.329972162653085,6.468394311998786,61.72501372186573,75.73421945966082,87528.91999999998,108870.91,71401.0,109808.99999999999,87528919999.99998,108870910000.0,71401000000.0,109808999999.99998,0.7929811327654737,0.0820188672345262,0.125,79800
MGCS,400,400,0.126025,0.21455,0.0375,87.00833196496517,6.672125017492733,73.86781263547364,6.468394311998786,77.32716493225092,90.46768426174245,74162.84,134026.595,55840.0,137769.0,74162840000.0,134026595000.0,55840000000.0,137769000000.0,0.0,0.0,0.0,0
MSTS,400,400,0.038575,0.03965,0.0375,86.89914469453632,6.4867015434531705,73.94404883908437,6.468394311998786,77.18517223437443,90.14026808982639,67265.3175,106079.1925,59327.0,108522.0,67265317500.00001,106079192500.0,59327000000.0,108522000000.0,0.0,0.0,0.0,0
RS,400,400,0.451,0.8645,0.0375,87.61761500743378,7.4907970372891715,73.65842365814584,6.468394311998786,76.96261516318407,90.92180651247203,66257.86249999999,106029.74750000001,53841.99999999999,95912.0,66257862499.999985,106029747500.00002,53841999999.99999,95912000000.0,0.0,0.0,0.0,0
CAHS,450,400,0.09563888888888888,0.1537777777777778,0.0375,72.9588997551088,7.553130311614307,58.93710598237385,6.468663461120642,62.36929643140756,76.39109020414251,88980.585,112786.06749999999,71072.0,117758.00000000001,88980585000.0,112786067499.99998,71072000000.0,117758000000.00002,0.7998002198462127,0.07519978015378725,0.125,89775
MGCS,450,400,0.12966666666666668,0.22183333333333333,0.0375,86.64041091011772,6.681247845819626,73.49049960317744,6.468663461120642,76.98359156022786,90.13350286716813,75547.75000000001,139965.66,59876.0,149055.0,75547750000.00002,139965660000.0,59876000000.0,149055000000.0,0.0,0.0,0.0,0
MSTS,450,400,0.03858333333333333,0.03966666666666667,0.0375,86.76392227528005,6.4933457605259335,73.80191305363348,6.468663461120642,77.08650812494017,90.04851734658673,68338.6,109466.16750000001,59038.0,110101.0,68338600000.00001,109466167500.00002,59038000000.0,110101000000.0,0.0,0.0,0.0,0
RS,450,400,0.4512777777777778,0.8650555555555556,0.0375,87.76238557787696,7.495812998006594,73.79790911874971,6.468663461120642,77.158692659912,91.12316911903925,67873.8425,110447.735,58907.0,107785.0,67873842500.0,110447735000.0,58907000000.0,107785000000.0,0.0,0.0,0.0,0
CAHS,500,400,0.090965,0.14443,0.0375,73.0362451358114,7.507754330288907,59.05956105307652,6.468929752445974,62.54496928978456,76.52165337251944,89918.52,114751.4675,71207.0,114042.0,89918520000.0,114751467500.0,71207000000.0,114042000000.0,0.803350284583092,0.07164971541690814,0.125,99750
MGCS,500,400,0.131255,0.22501,0.0375,86.74578450726341,6.6352880240451775,73.64156673077227,6.468929752445974,77.21521100669985,90.319428783191,77482.0275,145600.835,58852.0,146801.0,77482027500.0,145600835000.0,58852000000.0,146801000000.0,0.0,0.0,0.0,0
MSTS,500,400,0.038525,0.03955,0.0375,86.56591596231756,6.481332559030772,73.6156536508408,6.468929752445974,76.97747374221441,89.92773605369116,70045.4225,113434.205,56770.0,115184.0,70045422500.0,113434205000.0,56770000000.0,115184000000.0,0.0,0.0,0.0,0
RS,500,400,0.450625,0.86375,0.0375,87.6121140168773,7.492174616216382,73.65100964821495,6.468929752445974,77.05890647404304,91.0200108427054,68655.165,113063.81249999999,56430.0,105311.0,68655164999.99999,113063812499.99998,56430000000.0,105311000000.0,0.0,0.0,0.0,0
CAHS,550,400,0.08704090909090909,0.1365818181818182,0.0375,73.85084738231983,7.511874618731131,59.870526371719755,6.468446391868956,63.42455506614962,77.4048760767497,90195.30500000001,115899.1925,71902.0,120332.0,90195305000.0,115899192500.0,71902000000.0,120332000000.0,0.8069804459145231,0.0680195540854769,0.125,109725
MGCS,550,400,0.13302272727272726,0.22854545454545455,0.0375,86.60390939161306,6.62846288148897,73.50700011825512,6.468446391868956,77.18344721240912,90.28035648576704,78157.80249999999,150367.65000000002,62294.0,145044.99999999997,78157802499.99998,150367650000.00003,62294000000.0,145044999999.99997,0.0,0.0,0.0,0
MSTS,550,400,0.03854545454545454,0.03959090909090909,0.0375,86.57696242294857,6.477167960051632,73.63134807102797,6.468446391868956,77.12204812550686,90.06766247742743,71302.11,116390.68749999999,60772.0,120758.0,71302110000.0,116390687499.99998,60772000000.0,120758000000.0,0.0,0.0,0.0,0
RS,550,400,0.4510272727272727,0.8645545454545455,0.0375,87.81639156668399,7.478118058215232,73.86982711659981,6.468446391868956,77.36928178209985,91.31584623218403,69665.1175,115919.07500000003,57696.0,111346.0,69665117500.0,115919075000.00003,57696000000.0,111346000000.0,0.0,0.0,0.0,0
CAHS,600,400,0.0843875,0.131275,0.0375,73.65539517340842,7.540707590443727,59.646011308280066,6.468676274684633,63.19430849026629,77.20369235539464,91360.105,118470.835,73787.0,122305.0,91360105000.0,118470835000.0,73787000000.0,122305000000.0,0.808505166704037,0.06649483329596285,0.125,119700
MGCS,600,400,0.13470416666666668,0.23190833333333333,0.0375,86.57293756624844,6.637554446357722,73.46670684520608,6.468676274684633,77.2165832275627,90.32281394860503,79241.56749999999,154465.8125,60038.0,155546.0,79241567499.99998,154465812500.0,60038000000.0,155546000000.0,0.0,0.0,0.0,0
MSTS,600,400,0.038545833333333335,0.039591666666666664,0.0375,86.43708183366938,6.4804060364908915,73.48799952249387,6.468676274684633,76.9305609414664,89.87964325264194,72738.395,118775.22,59500.0,120108.0,72738395000.0,118775220000.0,59500000000.0,120108000000.0,0.0,0.0,0.0,0
RS,600,400,0.45111666666666667,0.8647333333333334,0.0375,87.49264660311182,7.485123646990708,73.53884668143648,6.468676274684633,77.04827176235611,91.00207168403143,70698.175,118358.62000000001,55197.0,111014.0,70698175000.0,118358620000.00002,55197000000.0,111014000000.0,0.0,0.0,0.0,0
