method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
MSTS,300,400,0.04410833333333333,0.04083333333333333,0.04738333333333333,86.32502147374448,6.300855375974981,73.16345492505566,6.860711172713852,73.63680205165304,86.79836860034186,46474.19,54683.25,42491.99999999999,53428.0,46474190000.0,54683250000.0,42491999999.99999,53428000000.0,0.0,0.0,0.0,0
RS,300,400,0.3832083333333333,0.7190333333333333,0.04738333333333333,86.40581854970799,7.344948680660716,72.20015869633343,6.860711172713852,72.53016310164934,86.7358229550239,47239.155,56999.649999999994,44466.0,55065.0,47239155000.0,56999649999.99999,44466000000.0,55065000000.0,0.0,0.0,0.0,0
CAHS,350,400,0.06768571428571428,0.08801428571428571,0.047357142857142855,69.41924259076897,6.899285490672371,55.6596054521036,6.860351647992998,55.83860738185915,69.59824452052452,61884.3125,65339.27,62573.0,64997.99999999999,61884312500.0,65339270000.0,62573000000.0,64997999999.99999,0.5909451935943905,0.3090548064056095,0.1,69825
MGCS,350,400,0.5067357142857143,0.9661142857142857,0.047357142857142855,85.83797198317924,7.05385980143494,71.9237605337513,6.860351647992998,71.95656661300478,85.8707780624327,84380.435,172630.65000000002,84606.0,174060.0,84380435000.0,172630650000.00003,84606000000.0,174060000000.0,0.0,0.0,0.0,0
MSTS,350,400,0.044071428571428574,0.040785714285714286,0.047357142857142855,85.04950736456263,6.289789051880382,71.89936666468925,6.860351647992998,72.0031241065651,85.15326480643849,47893.3375,57471.15750000001,47817.0,54875.0,47893337500.0,57471157500.00001,47817000000.0,54875000000.0,0.0,0.0,0.0,0
RS,350,400,0.38157857142857143,0.7158,0.047357142857142855,86.34256575967848,7.332434192646599,72.14977991903886,6.860351647992998,72.16583029458646,86.35861613522606,49387.3375,60772.712499999994,50125.99999999999,64226.0,49387337500.0,60772712499.99999,50125999999.99999,64226000000.0,0.0,0.0,0.0,0
CAHS,400,400,0.06885,0.0903375,0.0473625,70.54700680589173,6.924039984649169,56.76173753647461,6.86122928476794,56.84210514766402,70.62737441708114,67041.43,72253.8625,62877.0,70556.0,67041429999.99999,72253862500.0,62877000000.0,70556000000.0,0.6253357730000414,0.2746642269999586,0.1,79800
MGCS,400,400,0.507825,0.9682875,0.0473625,85.51406838186247,6.438102895625187,72.21473620146934,6.86122928476794,72.16423753822781,85.46356971862093,94907.82749999998,252805.66999999995,86900.0,258739.0,94907827499.99998,252805669999.99997,86900000000.0,258739000000.0,0.0,0.0,0.0,0
MSTS,400,400,0.04409375,0.040825,0.0473625,85.12912396759255,6.2839649906749715,71.98392969214963,6.86122928476794,71.9573323612541,85.10252663669701,51835.46,63093.799999999996,51380.99999999999,58477.0,51835460000.0,63093799999.99999,51380999999.99999,58477000000.0,0.0,0.0,0.0,0
RS,400,400,0.3838625,0.7203625,0.0473625,86.16283509904596,7.330058867250795,71.97154694702722,6.86122928476794,72.00621772949245,86.19750588151118,52191.392499999994,65505.515,54066.0,62224.0,52191392499.99999,65505515000.0,54066000000.0,62224000000.0,0.0,0.0,0.0,0
