figure,metric,method,users,target,result,abs_error,rel_error
fig4_B,throughput,MGCS,100,30927.835051546383,26376.212499999998,-4551.622551546385,0.1471691291666665
fig4_B,throughput,MGCS,150,44329.8969072165,39150.665,-5179.231907216497,0.11683383604651168
fig4_B,throughput,MGCS,200,57938.1443298969,50078.235,-7859.909329896902,0.13566035676156576
fig4_B,throughput,MGCS,250,65773.19587628866,59627.719999999994,-6145.47587628867,0.09343435109717883
fig4_B,throughput,MGCS,300,71134.02061855671,66608.0175,-4526.003118556706,0.06362642065217397
fig4_B,throughput,MGCS,350,74845.36082474227,70737.7675,-4107.593324742265,0.05488106783746553
fig4_B,throughput,MGCS,400,78144.32989690722,74162.84,-3981.4898969072237,0.05095046437994732
fig4_B,throughput,MGCS,450,80618.55670103093,75547.75000000001,-5070.806701030917,0.0628987531969308
fig4_B,throughput,MGCS,500,82680.41237113402,77482.0275,-5198.384871134025,0.06287323347880305
fig4_B,throughput,MGCS,550,84742.26804123711,78157.80249999999,-6584.465541237121,0.07769989750608282
fig4_B,throughput,MGCS,600,85567.01030927835,79241.56749999999,-6325.442809278364,0.07392384969879533
fig4_B,throughput,CAHS,100,27835.051546391755,27230.850000000002,-604.2015463917523,0.02170649999999999
fig4_B,throughput,CAHS,150,45979.38144329897,44552.0175,-1427.3639432989658,0.03104356558295957
fig4_B,throughput,CAHS,200,60000.0,60301.61499999999,301.6149999999907,0.005026916666666511
fig4_B,throughput,CAHS,250,70309.27835051547,72517.25749999999,2207.9791494845267,0.03140380901759517
fig4_B,throughput,CAHS,300,77319.58762886598,80424.17000000001,3104.5823711340345,0.040152598666666844
fig4_B,throughput,CAHS,350,82680.41237113402,85760.51499999998,3080.102628865963,0.03725311159600978
fig4_B,throughput,CAHS,400,88453.60824742269,87528.91999999998,-924.6882474227023,0.010453934731934978
fig4_B,throughput,CAHS,450,91752.57731958762,88980.585,-2771.992319587618,0.030211601685393143
fig4_B,throughput,CAHS,500,95463.9175257732,89918.52,-5545.3975257731945,0.058088937365010786
fig4_B,throughput,CAHS,550,97938.14432989691,90195.30500000001,-7742.839329896902,0.07905846473684205
fig4_B,throughput,CAHS,600,99587.62886597938,91360.105,-8227.523865979383,0.0826159228778468
fig4_B,delay,RS,100,82.56410256410257,87.86339872875433,5.299296164651764,0.06418402187000584
fig4_B,delay,RS,150,82.35897435897436,87.86018229671576,5.501207937741398,0.06679548865875297
fig4_B,delay,RS,200,82.71794871794872,87.8923359534932,5.174387235544486,0.0625545884024287
fig4_B,delay,RS,250,82.25641025641026,87.5412749563002,5.284864699889937,0.06424866686275173
fig4_B,delay,RS,300,82.2051282051282,87.72801119841456,5.522882993286359,0.06718416616911042
fig4_B,delay,RS,350,82.48717948717949,87.67531069523181,5.188131208052326,0.06289621296675185
fig4_B,delay,RS,400,82.3076923076923,87.61761500743378,5.3099226997414775,0.06451307952956935
fig4_B,delay,RS,450,82.46153846153847,87.76238557787696,5.300847116338488,0.06428266092574658
fig4_B,delay,RS,500,82.46153846153847,87.6121140168773,5.150575555338833,0.06246033789123584
fig4_B,delay,RS,550,82.51282051282051,87.81639156668399,5.303571053863479,0.06427572128672333
fig4_B,delay,RS,600,82.41025641025641,87.49264660311182,5.082390192855414,0.06167181627920384
fig4_B,delay,MSTS,100,81.94871794871794,86.80255922094933,4.853841272231392,0.05923022829068345
fig4_B,delay,MSTS,150,82.56410256410257,87.06445587163046,4.500353307527888,0.05450738478061728
fig4_B,delay,MSTS,200,82.56410256410257,87.14154528520254,4.57744272109997,0.05544107643568287
fig4_B,delay,MSTS,250,82.71794871794872,86.75925302010677,4.0413043021580535,0.04885643762683326
fig4_B,delay,MSTS,300,82.35897435897436,87.01097443372869,4.652000074754326,0.05648443428250894
fig4_B,delay,MSTS,350,82.87179487179488,86.96258475375318,4.090789881958301,0.0493628729567988
fig4_B,delay,MSTS,400,82.82051282051282,86.89914469453632,4.0786318740235,0.04924663872659954
fig4_B,delay,MSTS,450,82.92307692307692,86.76392227528005,3.8408453522031323,0.04631817215087265
fig4_B,delay,MSTS,500,82.51282051282051,86.56591596231756,4.05309544949705,0.04912079631149315
fig4_B,delay,MSTS,550,82.92307692307692,86.57696242294857,3.653885499871649,0.04406355426561358
fig4_B,delay,MSTS,600,82.92307692307692,86.43708183366938,3.514004910592462,0.04237668259527088
fig4_B,delay,MGCS,100,80.35897435897436,88.16301118282863,7.804036823854261,0.09711468925664204
fig4_B,delay,MGCS,150,81.12820512820512,87.75273035803632,6.6245252298311925,0.08165502021599763
fig4_B,delay,MGCS,200,80.2051282051282,87.33366029403882,7.128532088910617,0.08887875686301601
fig4_B,delay,MGCS,250,79.53846153846153,86.97997746692874,7.441515928467211,0.09355871089949105
fig4_B,delay,MGCS,300,79.7948717948718,86.85246509655491,7.057593301683113,0.0884467026881881
fig4_B,delay,MGCS,350,79.64102564102564,87.23727230439516,7.596246663369527,0.09538107529665538
fig4_B,delay,MGCS,400,79.84615384615384,87.00833196496517,7.162178118811326,0.08969972595813801
fig4_B,delay,MGCS,450,79.94871794871796,86.64041091011772,6.691692961399767,0.08369981574553909
fig4_B,delay,MGCS,500,79.84615384615384,86.74578450726341,6.899630661109569,0.08641155933952255
fig4_B,delay,MGCS,550,79.7948717948718,86.60390939161306,6.809037596741263,0.08533176936790143
fig4_B,delay,MGCS,600,79.84615384615384,86.57293756624844,6.726783720094602,0.08424680959656053
fig4_B,delay,CAHS,100,72.71794871794872,75.27958832547738,2.5616396075286616,0.035227060893377224
fig4_B,delay,CAHS,150,72.97435897435898,73.93220750509512,0.9578485307361433,0.013125823154852279
fig4_B,delay,CAHS,200,73.07692307692308,72.14828653017176,-0.9286365467513207,0.012707658008175967
fig4_B,delay,CAHS,250,72.97435897435898,71.96432428994785,-1.0100346844111243,0.01384095315953403
