figure,metric,method,users,target,result,abs_error,rel_error
fig3_A,delay,MGCS,550,75.97395833333333,85.33174114887424,9.357782815540915,0.12317092620716089
fig3_A,delay,MGCS,600,75.71875,85.30296866143718,9.584218661437177,0.12657655681633911
fig3_A,delay,CAHS,100,72.15,71.91454614966025,-0.23545385033975208,0.003263393629102593
fig3_A,delay,CAHS,150,71.72,69.50672517723527,-2.213274822764731,0.030859938967717947
fig3_A,delay,CAHS,200,71.98,68.71658189631636,-3.263418103683648,0.045337845285963435
fig3_A,delay,CAHS,250,72.1640625,68.41242526995678,-3.7516372300432153,0.051987611285648105
fig3_A,delay,CAHS,300,72.546875,68.52090097755439,-4.0259740224456095,0.05549479591568361
fig3_A,delay,CAHS,350,73.53125,69.41924259076897,-4.112007409231026,0.05592190271797401
fig3_A,delay,CAHS,400,73.13020833333333,70.54700680589173,-2.5832015274416023,0.035323316948136715
fig3_A,delay,CAHS,450,73.34895833333333,70.55032546744242,-2.7986328658909088,0.03815504581772737
fig3_A,delay,CAHS,500,73.13020833333333,71.45631318295541,-1.6738951503779163,0.022889243563318847
fig3_A,delay,CAHS,550,73.60416666666667,72.56866243259074,-1.0355042340759297,0.014068554552970456
fig3_A,delay,CAHS,600,73.02083333333333,73.91013033783709,0.88929700450376,0.01217867509734108
fig3_A,handover,RS,100,0.731578947368421,0.381825,-0.34975394736842097,0.4780809352517985
fig3_A,handover,RS,150,0.7403508771929824,0.38526666666666665,-0.3550842105263158,0.4796161137440758
fig3_A,handover,RS,200,0.7350877192982456,0.3803625,-0.3547252192982456,0.48256175417661096
fig3_A,handover,RS,250,0.731578947368421,0.38226,-0.349318947368421,0.4774863309352518
fig3_A,handover,RS,300,0.7421052631578947,0.3832083333333333,-0.3588969298245614,0.48361997635933807
fig3_A,handover,RS,350,0.7421052631578947,0.38157857142857143,-0.3605266917293233,0.48581610942249237
fig3_A,handover,RS,400,0.7350877192982456,0.3838625,-0.3512252192982456,0.4778004176610978
fig3_A,handover,RS,450,0.7403508771929824,0.38387777777777776,-0.35647309941520466,0.48149210110584517
fig3_A,handover,RS,500,0.7385964912280701,0.384725,-0.35387149122807016,0.47911342042755345
fig3_A,handover,RS,550,0.7368421052631579,0.3846181818181818,-0.35222392344497605,0.4780181818181818
fig3_A,handover,RS,600,0.7385964912280701,0.3858666666666667,-0.35272982456140345,0.47756769596199516
fig3_A,handover,MSTS,100,0.04035087719298247,0.044175,0.0038241228070175284,0.09477173913043437
fig3_A,handover,MSTS,150,0.04035087719298247,0.04415,0.003799122807017531,0.09415217391304313
fig3_A,handover,MSTS,200,0.04035087719298247,0.0442125,0.0038616228070175312,0.0957010869565214
fig3_A,handover,MSTS,250,0.04035087719298247,0.04411,0.003759122807017533,0.09316086956521709
fig3_A,handover,MSTS,300,0.04035087719298247,0.04410833333333333,0.003757456140350862,0.0931195652173909
fig3_A,handover,MSTS,350,0.04035087719298247,0.044071428571428574,0.0037205513784461033,0.09220496894409905
fig3_A,handover,MSTS,400,0.04035087719298247,0.04409375,0.0037428728070175304,0.09275815217391267
fig3_A,handover,MSTS,450,0.04035087719298247,0.04407222222222222,0.0037213450292397504,0.092224637681159
fig3_A,handover,MSTS,500,0.04035087719298247,0.044075,0.0037241228070175325,0.09229347826086925
fig3_A,handover,MSTS,550,0.04035087719298247,0.04405,0.0036991228070175283,0.09167391304347784
fig3_A,handover,MSTS,600,0.04035087719298247,0.0440625,0.003711622807017527,0.09198369565217346
fig3_A,handover,MGCS,100,0.09999999999999998,0.229125,0.12912500000000002,1.2912500000000005
fig3_A,handover,MGCS,150,0.09999999999999998,0.32915,0.22915000000000002,2.2915000000000005
fig3_A,handover,MGCS,200,0.0964912280701754,0.4311375,0.3346462719298246,3.4681522727272744
fig3_A,handover,MGCS,250,0.09999999999999998,0.4776,0.37760000000000005,3.776000000000001
fig3_A,handover,MGCS,300,0.09999999999999998,0.49975833333333336,0.3997583333333334,3.997583333333335
fig3_A,handover,MGCS,350,0.09999999999999998,0.5067357142857143,0.4067357142857143,4.067357142857144
fig3_A,handover,MGCS,400,0.09999999999999998,0.507825,0.407825,4.078250000000001
fig3_A,handover,MGCS,450,0.09999999999999998,0.5096833333333334,0.4096833333333334,4.096833333333335
fig3_A,handover,MGCS,500,0.09999999999999998,0.51015,0.41015,4.1015000000000015
fig3_A,handover,MGCS,550,0.09999999999999998,0.5097409090909091,0.4097409090909091,4.097409090909092
fig3_A,handover,MGCS,600,0.09999999999999998,0.5107916666666666,0.41079166666666667,4.107916666666668
fig3_A,handover,CAHS,100,0.1210526315789473,0.1065,-0.014552631578947303,0.12021739130434736
fig3_A,handover,CAHS,150,0.1105263157894737,0.09253333333333333,-0.017992982456140366,0.1627936507936509
fig3_A,handover,CAHS,200,0.09999999999999998,0.093325,-0.006674999999999973,0.06674999999999974
